CHROM	POS	END	ID	REF	ALT	SVTYPE	Quality	Gene	Filter	SVLEN	Algorithms	Evidence	LBD_ALT_FREQS	controls_ALT_FREQS	candidate_gene_exon_overlap	Candidate_gene_overlap	Candidate_gene_promoter_overlap	Candidate_gene_non_coding_overlap	genehancer	CADDSV-score	raw-score-span	raw-score-flank
chr2	219133672	219133672	LBD_BND_chr2_7109	N	BND	BND	879	TUBA4A	UNRESOLVED	-1	manta	PE,SR	0.000212314	0.0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
chr9	91622341	91622341	LBD_BND_chr9_1676	N	BND	BND	74	SPTLC1	UNRESOLVED	-1	manta	SR	0.0	0.000138812	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
chr5	179751550	179751550	LBD_BND_chr5_4414	N	BND	BND	780	SQSTM1	UNRESOLVED	59596	manta	PE,SR	0.0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	['GH05J179751']			
chr12	39466254	39466530	LBD_INV_chr12_10	N	INV	INV	874	LRRK2	PASS	276	manta	PE,SR	0.187925	0.185165	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
chr14	54959352	54960201	LBD_INV_chr14_3	N	INV	INV	793	GCH1	PASS	849	manta	PE,SR	0.0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
chr9	91958957	91959715	LBD_INV_chr9_13	N	INV	INV	786	SPTLC1	PASS	758	manta	PE,SR	0.0014862	0.000540541	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	['GH09J091959']			
chr3	48940959	48941701	LBD_INV_chr3_6	N	INV	INV	910	BSN	PASS	742	manta	PE	0.00233546	0.00229792	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
chr10	12411657	12412677	LBD_INV_chr10_2	N	INV	INV	417	OPTN	PASS	1020	manta	PE,SR	0.000212314	0.0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	['GH10J012414']			
chr21	26001843	26002391	LBD_INV_chr21_4	N	INV	INV	999	APP	PASS	548	manta	PE,SR	0.996157	0.996331	Not_exonic	Candidate_gene_overlap	No_promoter_overlap	Non-coding_overlap	['GH21J026001']			
chr5	139926932	139929632	LBD_INV_chr5_21	N	INV	INV	999	MATR3	PASS	2700	manta	PE,SR	0.000424628	0.0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
chr1	11303743	11305014	LBD_INV_chr1_2	N	INV	INV	786	TARDBP	PASS	1271	manta	PE,SR	0.0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
chrX	154459947	154460123	LBD_INV_chrX_7	N	INV	INV	485	RAB39B	PASS	176	manta	SR	0.000212314	0.0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
chr5	150939541	150940050	LBD_INV_chr5_24	N	INV	INV	847	CSF1R	PASS	509	manta	PE,SR	0.0101911	0.0101351	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
